N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
1,68.4891,84.2611,60.8967,56.9089,7.43723,104.867,29.1855
2,73.3808,116.283,83.5886,65.5416,12.7256,133.324,60.7026
4,87.7908,124.273,91.3471,81.0167,16.1293,180.745,127.546
8,97.7296,157.525,102.158,104.378,23.4831,318.203,256.059
16,177.979,223.024,146.007,163.532,34.8674,539.674,527.959
32,245.453,340.764,217.699,273.296,61.3397,921.933,1063.51
64,360.409,570.484,369.999,490.795,112.739,1790.57,2123.72
128,630.252,1047.39,670.79,930.208,210.18,3376.51,4266.87
256,1222.78,1980.84,1288.55,1782.07,414.773,6662.21,8804.33
512,2318.62,3854.65,2470.89,3495.23,815.321,13313.4,18105.0
1024,4454.49,7709.57,4896.64,6988.15,1631.63,27027.1,38110.5
2048,8965.71,15370.8,9708.2,13970.6,3243.51,56336.4,76679.3
4096,17887.4,31980.1,19060.2,29930.5,6516.65,112512.0,154500.0
8192,37693.1,63422.2,40137.6,56851.7,13221.2,227358.0,306644.0
16384,73174.8,126795.0,76322.7,112888.0,27328.4,466208.0,613376.0
