N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
2,95.8314,290.081,221.845,213.041,21.676,95.3303,80.4526
2,94.8137,291.194,223.018,210.178,21.8034,94.9682,83.4281
2,94.6823,297.998,222.414,214.094,21.5114,94.6621,85.7268
8,114.116,340.954,236.661,332.075,26.9603,282.342,415.853
8,115.729,342.75,238.427,333.97,26.9513,282.806,417.408
32,165.589,496.093,303.685,875.752,46.1885,1296.32,3165.54
50,238.509,656.151,388.983,1413.27,72.2244,2367.23,6153.73
128,584.663,1216.45,627.884,4220.54,138.433,8926.76,25212.9
242,953.243,2146.72,1064.36,9328.47,245.59,22313.8,67085.8
512,1408.32,3967.61,1820.63,30120.0,376.308,67060.4,184306.0
968,2927.84,7707.7,3581.48,72524.4,851.195,172564.0,463657.0
2048,7160.86,18144.3,8649.35,191876.0,2207.52,539382.0,1416320.0
4050,20441.3,42901.8,23005.4,500821.0,6182.52,1526640.0,4086790.0
8192,51269.8,95195.1,55682.8,1387040.0,16138.9,4439820.0,12152500.0
16200,134610.0,224499.0,141598.0,3794700.0,43421.1,11812400.0,35710600.0
32768,361371.0,546155.0,380311.0,11928900.0,118426.0,35110500.0,101250000.0
65522,1013090.0,1381500.0,1052450.0,30862100.0,333323.0,98539700.0,286664000.0
