N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
1,3.2924,117.393,96.0876,71.0068,0.298397,120.918,144.593
2,3.58437,133.053,100.896,80.6605,0.596941,152.896,203.193
4,4.21222,145.092,113.949,96.9804,0.896621,238.411,300.396
8,5.50185,169.917,128.863,106.876,1.3048,390.924,521.853
16,5.62698,195.453,150.268,170.987,2.22112,642.674,966.1
32,8.33585,276.112,172.26,278.847,3.99895,1064.25,1878.75
64,14.9277,570.612,316.879,494.69,7.61076,2046.55,3683.1
128,31.1756,868.605,422.401,943.274,16.3621,3691.87,7436.83
256,63.4052,1570.48,779.182,1799.29,38.6256,6970.81,14650.4
512,130.487,2914.61,1444.4,3536.17,84.3332,13388.0,30653.9
1024,257.538,5783.75,2659.16,7023.46,196.371,27286.8,60363.1
2048,509.528,11753.0,5103.24,13977.3,423.679,60150.5,120645.0
4096,1064.58,24482.6,10409.9,29466.8,883.939,123731.0,242583.0
8192,2302.1,49194.5,20785.9,57217.9,1797.29,240575.0,484189.0
16384,4639.31,98107.2,40192.9,113789.0,3640.29,480127.0,974250.0
32768,8823.17,196905.0,81410.7,228063.0,7309.81,1009260.0,1961370.0
65536,17361.3,422668.0,171854.0,457332.0,14622.5,2035030.0,3955710.0
128000,34500.6,928137.0,406655.0,892925.0,28670.6,3960230.0,8159800.0
