N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
1,27.3378,29.0376,23.9844,30.1934,0.299058,86.3003,6.19933
2,29.4313,34.5535,27.2358,40.0193,0.597846,96.2854,28.4115
4,33.5792,55.2578,31.6157,63.6479,0.905488,132.687,69.5195
8,35.5957,85.9266,38.7365,114.007,0.938586,204.794,152.569
16,39.2588,158.444,41.0738,227.044,2.10385,374.269,315.833
32,55.8878,319.671,54.4544,445.8,3.28096,675.096,636.515
64,116.317,666.267,88.4762,866.988,5.94123,1256.31,1291.23
128,167.114,1289.26,143.004,1715.45,13.2367,2454.99,2592.93
256,320.965,2557.9,291.718,3452.77,34.1589,4552.11,5295.72
512,615.056,5121.02,568.882,6884.86,90.878,8638.26,10484.1
1024,1199.91,10190.2,1051.29,13741.2,222.358,16522.5,22065.8
2048,2352.32,21204.0,2025.24,27554.8,528.664,33169.1,45881.8
4096,4730.57,43794.8,4028.47,50616.9,1146.93,66686.0,90934.7
8192,10107.1,86956.1,8774.31,92275.3,2370.13,133410.0,184901.0
16384,19464.9,174114.0,16082.8,173674.0,4800.9,261762.0,367481.0
32768,38368.5,358232.0,32250.3,340724.0,9686.47,524687.0,734990.0
65536,76977.6,699227.0,65958.4,674547.0,19552.0,1043240.0,1462710.0
128000,154174.0,1369080.0,128916.0,1314470.0,38077.9,2143170.0,2896880.0
