N,fastad,stan,adept,baseline,cppad,sacado
1,60.2985,33.1823,37.8257,0.372366,84.4027,9.18976
2,67.619,51.0054,56.115,0.596072,94.9735,21.2747
4,72.1962,62.797,71.5547,1.78609,131.305,33.9917
8,71.4818,95.5642,123.31,2.97561,200.807,57.9006
16,91.8793,167.832,221.876,5.39041,372.663,122.637
32,194.099,326.213,434.689,12.6837,664.105,256.843
64,249.705,671.483,968.595,34.3216,1213.73,526.308
128,428.995,1294.04,2609.38,89.9666,2436.58,1081.14
256,763.086,2547.45,5229.47,224.813,4460.83,2194.05
512,1455.42,5096.08,10467.4,527.242,8547.46,4412.55
1024,2844.07,10179.5,20907.9,1136.87,16585.4,8902.59
2048,5625.71,21070.4,41901.5,2355.81,32989.5,19531.7
4096,12140.9,43282.1,61108.2,4813.13,65973.9,39073.7
8192,28861.2,86199.9,98144.6,9678.89,131799.0,78616.0
16384,62946.4,174634.0,166278.0,19444.6,259990.0,159486.0
32768,130114.0,345509.0,297094.0,38967.2,518742.0,304777.0
65536,274731.0,699149.0,571247.0,78144.9,1037780.0,609473.0
128000,700307.0,1367760.0,1092830.0,152466.0,2138620.0,1221810.0
