N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
12,62484.9,22175.2,12618.0,39796.0,987.496,153478.0,355916.0
22,37817.9,26011.7,16475.5,63886.2,2438.11,285435.0,605523.0
32,62445.2,30361.6,20819.2,94861.6,3854.88,424472.0,856959.0
42,95263.9,33951.1,24643.6,119943.0,5160.93,557560.0,1123690.0
52,114763.0,38307.0,28676.0,153575.0,6529.83,697968.0,1390000.0
62,144548.0,42299.3,32467.2,176585.0,7735.12,868275.0,1676420.0
72,209672.0,46709.7,36857.7,199821.0,8974.83,988018.0,1973270.0
82,204243.0,50361.6,40255.0,220543.0,10087.5,1127510.0,2279350.0
92,272273.0,54664.1,45059.3,240894.0,11296.3,1329000.0,2578570.0
102,321960.0,58262.7,48703.2,261419.0,12589.6,1454120.0,2869380.0
112,338450.0,62975.8,53250.4,289536.0,13748.1,1601530.0,3162700.0
122,365180.0,66611.1,56247.5,313411.0,14945.2,1728850.0,3478160.0
132,393345.0,69214.7,58991.1,335683.0,14305.7,1878920.0,3788280.0
142,458842.0,72898.0,63034.1,358936.0,15417.9,2067290.0,4121140.0
152,499570.0,77308.6,67329.0,380165.0,16563.9,2161790.0,4504720.0
