N,fastad,stan,adept,baseline,cppad,sacado
7,510.545,475.965,544.49,54.5766,638.045,977.167
7,511.193,476.158,540.897,54.8109,634.88,977.702
7,509.344,484.958,546.4,54.5447,637.47,979.473
11,814.741,609.137,655.831,74.7223,995.537,1688.84
19,988.553,898.317,852.096,103.66,1642.0,2974.78
35,1140.8,1395.92,1296.4,174.985,2924.69,5526.75
67,1762.63,2370.18,2199.32,334.142,5098.27,10746.2
131,3373.55,4500.22,4083.0,671.218,9910.52,21873.1
259,5816.71,8408.21,7758.77,1351.12,19974.5,42680.0
515,12362.4,16402.3,15009.4,2766.01,39405.7,88029.3
1027,24581.7,33330.3,30505.8,5465.4,80788.6,174497.0
2051,47987.9,68981.1,60667.8,10891.2,148447.0,345747.0
4099,93259.5,137700.0,120943.0,21808.9,291687.0,687685.0
8195,195103.0,274516.0,240849.0,43418.7,582030.0,1375700.0
16387,495286.0,550837.0,474681.0,87550.9,1290450.0,2794610.0
