N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
1,2.97964,31.7144,23.0345,22.9997,0.297967,85.3361,6.09816
2,3.57522,49.7472,26.3257,39.2503,0.297946,95.6478,29.0136
4,3.88704,58.0952,30.8361,46.2649,0.893786,132.385,68.9858
8,5.5407,69.1672,37.8063,57.486,0.899082,202.409,150.568
16,5.63166,82.2712,43.9097,115.985,1.78834,367.891,313.161
32,7.34311,139.035,49.6328,229.488,2.97955,652.966,637.443
64,14.3013,289.419,64.2494,453.292,5.66351,1168.87,1286.33
128,25.804,522.905,112.154,897.227,15.2766,2373.12,2373.23
256,58.3726,1025.62,236.203,1760.18,29.8077,4284.92,5229.57
512,121.622,2019.34,475.473,3491.18,71.3751,8002.97,10513.3
1024,259.465,4011.43,857.88,6963.79,169.733,15363.1,22025.6
2048,485.235,7992.88,1658.43,13910.4,398.623,30284.8,45266.8
4096,987.676,17379.1,3265.2,32441.7,856.949,61200.8,90379.1
8192,1988.37,35826.5,6956.55,57798.8,1777.48,122441.0,180503.0
16384,4029.08,71809.7,12520.2,113784.0,3600.78,243839.0,362793.0
32768,7751.06,143910.0,25713.2,227966.0,7264.5,489208.0,724024.0
65536,14202.8,288352.0,51804.7,456337.0,14591.0,974715.0,1459850.0
128000,27395.2,570194.0,100045.0,891279.0,28546.1,2005570.0,2874770.0
