N,fastad,stan,stan_varmat,adept,baseline,cppad,sacado
1,57.4886,31.8771,23.0383,37.9768,0.597926,85.7826,9.53364
2,66.4522,50.2022,26.1472,56.1689,0.596275,96.1937,21.2239
4,72.1951,58.6649,30.3567,70.4258,0.901168,135.447,34.2141
8,69.1181,69.8374,35.9887,117.305,1.05372,205.161,57.8845
16,81.6711,82.5788,37.631,212.166,1.84663,369.381,123.973
32,166.508,139.877,45.0678,444.356,5.04654,655.63,259.097
64,191.744,291.06,65.6968,940.016,15.6576,1235.48,527.78
128,327.257,527.062,114.032,2534.98,42.9904,2428.97,1089.32
256,599.27,1039.53,236.924,5061.85,122.098,4387.83,2205.59
512,1107.92,2034.0,472.152,10229.5,336.832,8171.77,4436.7
1024,2155.77,4043.53,869.558,20473.1,795.579,15593.9,8878.93
2048,4242.68,8043.04,1672.77,41225.8,1715.88,30625.1,22148.7
4096,8670.4,17127.5,3304.36,83256.2,3545.62,61978.2,38655.5
8192,21391.2,35855.8,6944.39,166066.0,7225.61,122603.0,80408.9
16384,50291.4,71940.9,12539.8,332310.0,14597.1,243748.0,156451.0
